LA1, Left Hippocampus,-32.0141,-11.1747,-18.32591361,Hippocampus_L,n/a
LO9, Left SFG superior frontal gyrus,-20.3633,41.4496,27.81624294,Frontal_Mid_L,Ventral_Attention
LO10, Left Cerebral White Matter,-19.6946,42.5524,35.29025105,Frontal_Sup_L,Default
LO11, Left SFG superior frontal gyrus,-21.2635,43.3963,41.62197786,Frontal_Sup_L,Default
LO12, Left SFG superior frontal gyrus,-20.9564,43.926,45.69773633,Frontal_Sup_L,Default
LT1, Left ACgG anterior cingulate gyrus,-11.5297,34.6213,19.73086605,L_Frontal_WM,Default
LT2, Left Cerebral White Matter,-17.727,32.512,19.68509392,L_Frontal_WM,Default
LT3, Left Cerebral White Matter,-22.5416,31.6731,19.05557052,L_Frontal_WM,n/a
LT4, Left Cerebral White Matter,-27.3795,31.5714,19.39128063,L_Frontal_WM,n/a
LT5, Left Cerebral White Matter,-30.9232,31.1954,22.52674174,L_Frontal_WM,Frontoparietal
LT6, Left MFG middle frontal gyrus,-36.5795,29.5678,25.39505835,Frontal_Inf_Tri_L,Frontoparietal
LT7, Left Cerebral White Matter,-42.5849,28.3801,26.98471142,Frontal_Inf_Tri_L,Frontoparietal
LT8, Left Cerebral White Matter,-48.2653,28.2828,25.62501119,Frontal_Inf_Tri_L,Frontoparietal
LT9, Left MFG middle frontal gyrus,-52.8057,28.3443,25.83725483,Frontal_Inf_Tri_L,Frontoparietal
LT10,,-59.8623,27.5251,24.01780643,Frontal_Inf_Tri_L,Default
LT11,,-65.7924,26.0803,23.64584864,Frontal_Inf_Tri_L,n/a
LT12,,-71.3122,25.6954,22.78846372,Frontal_Inf_Oper_L,n/a
RA1, Right Hippocampus,25.007,-4.01745,-26.19799653,Hippocampus_R,Limbic
RA2, Right Cerebral White Matter,30.8512,-1.452,-26.44341203,Amygdala_R,Limbic
RA3, Right Cerebral White Matter,35.1633,0.233636,-25.93716142,R_Temporal_WM,Ventral_Attention
RA4, Right Cerebral White Matter,39.7891,2.13738,-26.16043197,R_Temporal_WM,Ventral_Attention
RA5, Right Cerebral White Matter,44.0171,3.42623,-26.57117481,Temporal_Mid_R,Default
RA6, Right Cerebral White Matter,49.0874,3.90099,-27.95136028,Temporal_Mid_R,Default
RA7, Right Cerebral White Matter,54.9035,4.80378,-28.25444712,Temporal_Mid_R,Default
RA8,,60.5163,7.33797,-29.35486269,Temporal_Mid_R,Default
RB1, Right Cerebral White Matter,33.0876,-22.521,-19.74192878,Fusiform_R,Visual
RB2, Right FuG fusiform gyrus,38.597,-21.6706,-20.17443999,Fusiform_R,Limbic
RB3, Right Cerebral White Matter,42.9592,-21.5405,-18.48788028,Temporal_Inf_R,Limbic
RB4, Right Cerebral White Matter,47.3534,-20.5399,-17.34003956,R_Temporal_WM,Default
RB5, Right Cerebral White Matter,52.4185,-20.9022,-16.24320738,Temporal_Inf_R,Default
RB6, Right Cerebral White Matter,58.9412,-20.55,-16.08773297,Temporal_Inf_R,Frontoparietal
RB7, Right MTG middle temporal gyrus,63.4816,-19.7285,-17.21713006,Temporal_Inf_R,Default
RB8,,69.6941,-17.6229,-18.6969397,Temporal_Mid_R,Default
RC1, Right FuG fusiform gyrus,36.6436,-58.5717,-17.29107908,Fusiform_R,Visual
RC2, Right FuG fusiform gyrus,40.962,-61.1077,-16.14802225,Fusiform_R,Visual
RC3, Right Cerebral White Matter,47.8258,-63.497,-12.87068784,Occipital_Inf_R,Visual
RC4, Right ITG inferior temporal gyrus,53.2565,-66.2996,-11.50602855,Occipital_Inf_R,Visual
RC5,,58.7609,-68.9027,-9.259603811,Temporal_Inf_R,Visual
RC6,,62.2844,-70.2981,-8.816360801,Temporal_Inf_R,n/a
RC7,,63.9861,-71.3625,-7.025187612,Temporal_Inf_R,n/a
RC8,,67.9974,-72.8693,-5.598118897,n/a,n/a
RC9,,71.3308,-73.442,-4.940483376,n/a,n/a
RC10,,75.1743,-75.1372,-3.619472368,n/a,n/a
RC11,,78.3828,-76.5173,-2.113703783,n/a,n/a
RC12,,81.0695,-78.0237,-0.592290024,n/a,n/a
RD1, Right Cerebral White Matter,20.6137,25.4401,-11.28506731,R_Frontal_WM,Limbic
RD2, Right Cerebral White Matter,21.2077,23.7333,-6.932862279,Putamen_R,Frontoparietal
RD3, Right Cerebral White Matter,21.4031,22.713,-1.302545787,Putamen_R,n/a
RD4, Right Cerebral White Matter,21.6995,22.2684,4.510875645,Putamen_R,Ventral_Attention
RD5, Right Cerebral White Matter,22.7821,22.699,9.58699899,R_Frontal_WM,Ventral_Attention
RD6, Right Cerebral White Matter,25.2721,22.9436,15.44394595,R_Frontal_WM,n/a
RD7, Right Cerebral White Matter,27.8834,23.9372,19.68590497,R_Frontal_WM,n/a
RD8, Right Cerebral White Matter,30.4271,24.8555,23.70445519,R_Frontal_WM,Frontoparietal
